loss_fn	granularity	condition	n_trials	n_stimuli	n_subjects	pearson_group	pearson_group_p	spearman_group	spearman_group_p	kendall_group	kendall_group_p	pearson_indiv	pearson_indiv_std	spearman_indiv	spearman_indiv_std	kendall_indiv	kendall_indiv_std
scat1d_log1p	modulation	amp	6	24	25	0.823212614612804	7.820046245437332e-07	0.8165217391304346	1.1382905036326446e-06	0.6521739130434783	1.5099399562473112e-06	0.6411734189135317	0.12518392258426597	0.6405813308839693	0.11986903673972209	0.4910099642485531	0.11087758867643024
jtfs_log1p	modulation	amp	6	24	25	0.8257913907714408	6.738422185260727e-07	0.8156521739130433	1.1938860990183272e-06	0.6594202898550725	1.0803576914435458e-06	0.6424131096629041	0.13102831044026023	0.6407564118459067	0.12199496025183493	0.4917749020440559	0.11079132233910673
mss_rev	modulation	amp	6	24	25	0.8234264680539289	7.724799725725195e-07	0.8130434782608694	1.3754790481872477e-06	0.6449275362318841	2.0950549744611917e-06	0.6361450156935554	0.113865764700324	0.6371595665509513	0.11243571598456491	0.4821231088218263	0.10968038176009495
encodec48k	modulation	amp	6	24	25	0.7890581169084507	4.602019869462713e-06	0.806086956521739	1.985720949689886e-06	0.6594202898550725	1.0803576914435458e-06	0.612112758188195	0.11557020028876228	0.6274718391701269	0.11344310971363879	0.4826705090631051	0.09969539088666307
clap2	modulation	amp	6	24	25	0.757062794391989	1.849802085720535e-05	0.7634782608695652	1.4239203018624185e-05	0.5869565217391304	2.271276851286088e-05	0.5960071403801355	0.14172836034184114	0.6052147389865954	0.13305509840490523	0.4639627315419925	0.1110021740685512
mfcc	modulation	amp	6	24	25	0.6672508563551862	0.00036852178731429483	0.6530434782608695	0.0005410161161143115	0.48550724637681164	0.0006432240729288161	0.5252488435140751	0.16904211587162876	0.5160721948613669	0.1842857858209099	0.3955915910665164	0.14280432722347472
mss_log_lin	modulation	amp	6	24	25	0.5371489514111085	0.006797037812830399	0.5695652173913043	0.0036703169941007274	0.4275362318840579	0.002989415703746229	0.4160085764693935	0.16253321869765397	0.4482153841889948	0.14261495835505664	0.3468180297391917	0.10659253754378774
panns_wavegram_logmel	modulation	amp	6	24	25	0.5619440874104364	0.004266057526750583	0.5599999999999999	0.00443042702628259	0.42028985507246375	0.0035635597431467976	0.4395150194959478	0.19124286029690066	0.45317468811992107	0.19566600615473867	0.3498783292658905	0.16016493045578323
vggish	modulation	amp	6	24	25	0.3627743574274765	0.08146202589893918	0.45217391304347826	0.0265272136321037	0.36231884057971014	0.01290450360123228	0.2774422585909415	0.18315623497843303	0.3578935223972455	0.14686458038218114	0.2771344574388382	0.11371272624836654
clap2	modulation	freq	6	24	26	0.8544502605623392	1.0743143189301407e-07	0.8695652173913043	3.461787327652242e-08	0.7028985507246377	1.2265451832839693e-07	0.7627884990789746	0.07674043915037689	0.7569228133308494	0.08315836787962108	0.5910584648066499	0.08089679263766449
scat1d_log1p	modulation	freq	6	24	26	0.7434621520408985	3.1411243511311214e-05	0.766086956521739	1.2772330677153307e-05	0.608695652173913	9.73421202242679e-06	0.6622518089927346	0.09065308193038296	0.6467696833320175	0.1021361340809049	0.5047422677255946	0.09313939133313999
vggish	modulation	freq	6	24	26	0.6555690271400765	0.00050604589166793	0.7043478260869565	0.00012214433051770487	0.536231884057971	0.00013569693294094353	0.585677806696285	0.10385205811933684	0.624137801514379	0.09745876218521463	0.48092370399169	0.08619729645264752
jtfs_log1p	modulation	freq	6	24	26	0.613519401021057	0.0014309323862420264	0.6417391304347826	0.0007243804451471963	0.49275362318840576	0.0005216703538772646	0.5456476336214591	0.10516992242621823	0.5213204584122892	0.11616225180754182	0.39790032493850824	0.09246441570906871
panns_wavegram_logmel	modulation	freq	6	24	26	0.6100665562168497	0.001548473227964036	0.6217391304347826	0.001181409133127283	0.4565217391304348	0.0014288748272159712	0.5427124556353096	0.12839671221170398	0.5351061886286389	0.13146868686145305	0.40064465757713064	0.10735098141356977
mss_log_lin	modulation	freq	6	24	26	0.19630643771531198	0.35791160004818734	0.21652173913043476	0.3095198975623006	0.13768115942028986	0.3626613999876752	0.17549936284689485	0.10026330298647013	0.15981879273962787	0.09926508759303829	0.12092712130220121	0.07488355781869081
mfcc	modulation	freq	6	24	26	0.11909726301158124	0.5793822984525652	0.16869565217391302	0.43070226172098125	0.14492753623188404	0.33713069668005113	0.10307520076202786	0.1752404092894094	0.09747462285803254	0.17166639257099234	0.074554581880398	0.12934704769847039
mss_rev	modulation	freq	6	24	26	0.05948883485025586	0.7824550400570796	0.1452173913043478	0.4983794692456114	0.12318840579710144	0.4171545702283505	0.0509198037267895	0.14373398611755786	0.04725742867065749	0.14154321863427055	0.03201756731189294	0.0978464980090279
encodec48k	modulation	freq	6	24	26	0.07763363391772131	0.7184229318026751	0.11565217391304347	0.590478316886841	0.07246376811594202	0.6409517533780805	0.06693263596294949	0.11637684556816061	0.06300353842239084	0.11186626024761248	0.046338162470105915	0.0796764167321836
mss_rev	modulation	reg	6	24	26	0.8546081245881514	1.0623854865529432e-07	0.8939130434782607	4.011400713518216e-09	0.7391304347826086	1.5539029608017707e-08	0.6854538550784544	0.11142639823969523	0.7251555631525045	0.10922518872629373	0.5571305834089479	0.10774349174842246
scat1d_log1p	modulation	reg	6	24	26	0.887455342191088	7.4491087546326235e-09	0.8791304347826084	1.568835871188163e-08	0.6956521739130435	1.800588368372513e-07	0.7095322140890227	0.10593071570667348	0.7196874648323337	0.11224576615808148	0.5518800133254013	0.11023906601844757
panns_wavegram_logmel	modulation	reg	6	24	26	0.8614825413093452	6.448446551142997e-08	0.8608695652173911	6.749197195108872e-08	0.7246376811594203	3.6620407778855014e-08	0.6885816445155264	0.12540120323547677	0.686734485973935	0.12365901939030821	0.5298746564248259	0.09853985614067051
jtfs_log1p	modulation	reg	6	24	26	0.7869434763538526	5.081306670647356e-06	0.7791304347826087	7.259364046158057e-06	0.6159420289855072	7.252169963045509e-06	0.6297357521215864	0.14698153005988313	0.6245488250776199	0.1399570305450492	0.47418994075824944	0.12128231608883316
