loss_fn	wavetable	mod_type	reference	ref_amount	mod_sig	amount	phase	ref_phase	is_reference	ref_shift	distance
mse	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	0	0	True	0	0.0
mse	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	0	0	False	0	0.0049289222806692
mse	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	0	0	False	0	0.016778951510787
mse	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	0	0	False	0	0.0259231869131326
mse	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	0	0	False	0	0.0304465033113956
mse	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	0	0	True	0	0.0
mse	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	0	0	False	0	0.0329549722373485
mse	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	0	0	False	0	0.0327454097568988
mse	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	0	0	False	0	0.0322724841535091
mse	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	0	0	False	0	0.0323152095079422
mse	brightness_real__harmonics__synced_sines__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	0	0	True	0	0.0
mse	brightness_real__harmonics__synced_sines__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	0	0	False	0	0.0257789026945829
mse	brightness_real__harmonics__synced_sines__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.250	0.25	0	0	False	0	0.0322805121541023
mse	brightness_real__harmonics__synced_sines__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.375	0.375	0	0	False	0	0.0346199087798595
mse	brightness_real__harmonics__synced_sines__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.500	0.5	0	0	False	0	0.0356769300997257
mse	brightness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	0	0	True	0	0.0
mse	brightness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	0	0	False	0	0.0022072794381529
mse	brightness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	0	0	False	0	0.0066603166051208
mse	brightness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	0	0	False	0	0.0123677682131528
mse	brightness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	0	0	False	0	0.0180055778473615
mse	brightness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	0	0	True	0	0.0
mse	brightness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	0	0	False	0	0.0253746006637811
mse	brightness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	0	0	False	0	0.0248189158737659
mse	brightness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	0	0	False	0	0.0247596073895692
mse	brightness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	0	0	False	0	0.025000974535942
mse	brightness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	0	0	True	0	0.0
mse	brightness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	0	0	False	0	0.0120537960901856
mse	brightness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.250	0.25	0	0	False	0	0.0232393760234117
mse	brightness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.375	0.375	0	0	False	0	0.028397686779499
mse	brightness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.500	0.5	0	0	False	0	0.0305195655673742
mse	richness_real__filter__acid_saw__46_1024__inverted	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	0	0	True	0	0.0
mse	richness_real__filter__acid_saw__46_1024__inverted	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	0	0	False	0	0.0024686900433152
mse	richness_real__filter__acid_saw__46_1024__inverted	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	0	0	False	0	0.0079356366768479
mse	richness_real__filter__acid_saw__46_1024__inverted	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	0	0	False	0	0.0129461605101823
mse	richness_real__filter__acid_saw__46_1024__inverted	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	0	0	False	0	0.016778826713562
mse	richness_real__filter__acid_saw__46_1024__inverted	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	0	0	True	0	0.0
mse	richness_real__filter__acid_saw__46_1024__inverted	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	0	0	False	0	0.0211831256747245
mse	richness_real__filter__acid_saw__46_1024__inverted	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	0	0	False	0	0.0204457584768533
mse	richness_real__filter__acid_saw__46_1024__inverted	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	0	0	False	0	0.021279664710164
mse	richness_real__filter__acid_saw__46_1024__inverted	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	0	0	False	0	0.0213327035307884
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	0	0	True	0	0.0
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	0	0	False	0	0.0134051004424691
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.250	0.25	0	0	False	0	0.0202512685209512
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.375	0.375	0	0	False	0	0.0234375111758708
mse	richness_real__filter__acid_saw__46_1024__inverted	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.500	0.5	0	0	False	0	0.0247206408530473
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.10	0.1	0	0	True	0	0.0
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.30	0.3	0	0	False	0	0.0002058865356957
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.50	0.5	0	0	False	0	0.0008412530878558
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70	0.7	0	0	False	0	0.0019282621797174
mse	richness_synthetic__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90	0.9	0	0	False	0	0.0033963015303015
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz	0.25	0	0	True	0	0.0
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz	0.5	0	0	False	0	0.0071587883867323
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_1.00hz	1.0	0	0	False	0	0.0078328354284167
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_2.00hz	2.0	0	0	False	0	0.0076787597499787
mse	richness_synthetic__256_1024	freq	freq_0.25hz	0.25	freq_4.00hz	4.0	0	0	False	0	0.0076557206921279
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.000	0.0	0	0	True	0	0.0
mse	richness_synthetic__256_1024	reg	reg_1.00hz_0.000	0.0	reg_1.00hz_0.125	0.125	0	0	False	0	0.0018588053062558
