granularity	condition	n_trials	n_stimuli	n_subjects	pearson_indiv_lower	pearson_indiv_lower_std	pearson_indiv_upper	pearson_indiv_upper_std	pearson_group	pearson_group_std	pearson_group_ci95_low	pearson_group_ci95_high	spearman_indiv_lower	spearman_indiv_lower_std	spearman_indiv_upper	spearman_indiv_upper_std	spearman_group	spearman_group_std	spearman_group_ci95_low	spearman_group_ci95_high	kendall_indiv_lower	kendall_indiv_lower_std	kendall_indiv_upper	kendall_indiv_upper_std	kendall_group	kendall_group_std	kendall_group_ci95_low	kendall_group_ci95_high
entire	all_18_trials	18	72	23	0.812047458774174	0.06276102577595133	0.8293699918577783	0.05742541401977576	0.9792072500439354	0.004954193817177729	0.967469477059002	0.9865928647364033	0.8074946873593895	0.05936199277707581	0.8240765375171514	0.054968785528169896	0.9767987377395674	0.00592802993236088	0.9627318992749768	0.9857239714280165	0.6386312149988396	0.060573165853279716	0.6565543666059178	0.057325239741281404	0.8275700256659627	0.02192118296221539	0.778691969676195	0.8628556095332433
modulation	amp	6	24	25	0.756873263893601	0.1080481593839619	0.7773941535560696	0.10098755450854968	0.9738815099606124	0.010985811401954182	0.9470042183681734	0.9889414883400369	0.7519179959262396	0.10187451613366616	0.7710130427644519	0.09668004449757234	0.9712392574941933	0.013172598946300473	0.9404324499326034	0.9886751080250746	0.5925095904621889	0.09629254963520914	0.6140872620680492	0.09415890396154122	0.8156003242864585	0.044372255437934015	0.7176627193582704	0.8841383399209486
modulation	freq	6	24	26	0.8840051847676857	0.08973099400284772	0.892874746875149	0.08311649924411647	0.9902254821629333	0.003155333191185333	0.9827417466599968	0.9950777877146281	0.874146671861265	0.08307316766230277	0.8858540417307629	0.07304885118613925	0.983109385841138	0.004269911533533034	0.9736724676483712	0.990781534421056	0.7250243775412871	0.10387412448234215	0.7405682849386577	0.09556579523048539	0.8625124770613682	0.02462400396413882	0.8115942028985507	0.9110722808439876
modulation	reg	6	24	26	0.785512327493156	0.10558183571469179	0.8031184360656627	0.09838744724827753	0.9762613938012011	0.009857393563503902	0.952226682488281	0.9899442271688058	0.7848745437093735	0.11119335948241524	0.8032724031425394	0.10461561404744465	0.9749226557624957	0.01043027353172588	0.9472359051142054	0.9889002889963993	0.6268161856824439	0.10632106228680614	0.6448986367548248	0.10127830802144919	0.8314307036328856	0.038018474900255714	0.7463768115942029	0.8985507246376812
modulation_timbre	amp_brightness	2	8	27	0.8020977354272416	0.15978397969900132	0.8160325637616521	0.15041385177407865	0.9835965969237374	0.011567748940826156	0.9529600520644468	0.997299010405121	0.7627371999034499	0.19318005476272537	0.8060652026839844	0.1570093722684462	0.9698531585138388	0.008625677941636356	0.962962962962963	0.9879518072289157	0.6373353349770459	0.18378614315742353	0.6782590121980191	0.16589598164157782	0.8251752730490557	0.047188027278938074	0.7857142857142856	0.9285714285714285
modulation_timbre	amp_richness	2	8	27	0.8092093803111342	0.1689952503094119	0.8232773499944243	0.157726658477569	0.9824606890870571	0.013135750427796515	0.9497618413302904	0.9971676758556085	0.7927506114072009	0.19447641682954042	0.8083434357833695	0.1785734784617005	0.9659211335170531	0.012614002591365926	0.9500000000000001	0.9879518072289157	0.6797488952081294	0.1846722775820703	0.6932854659980868	0.17131681453667122	0.8041258233440649	0.0668969407943977	0.7142857142857142	0.9285714285714285
modulation_timbre	amp_warmth	2	8	27	0.7956942377505816	0.17571078314189872	0.8099281560454042	0.16778991120805825	0.9817403906002313	0.010589066458453098	0.9567183928138164	0.9962797981720312	0.8063811757608371	0.1772998642219111	0.8085990021717875	0.17731165405648155	0.9719247397589297	0.019000968687947588	0.9367088607594938	1.0	0.6934657969524307	0.18952546455846245	0.6961598449800354	0.18893172840221686	0.8674194559347023	0.0709167244216673	0.7142857142857142	0.9999999999999998
modulation_timbre	freq_brightness	2	8	27	0.9497357426976754	0.053834221591186684	0.953011007459205	0.051614595574586336	0.9968054774015724	0.0018871397428527961	0.9922311289156573	0.9995456142095916	0.9374376247782809	0.05393056214745651	0.9374376247782809	0.05393056214745651	0.9915152490109711	0.009479998166472228	0.975609756097561	1.0	0.8481908301213037	0.09462524662519942	0.8481908301213037	0.09462524662519942	0.9500140595117961	0.05549203790290054	0.8571428571428571	0.9999999999999998
modulation_timbre	freq_richness	2	8	26	0.900974298173706	0.16269480909018866	0.9077248866613074	0.15192148589589385	0.9921240710463671	0.003840895859609996	0.9820136849807412	0.997291093074847	0.8818968960528978	0.1705122363827995	0.898243830309553	0.14747181061609776	0.9688067434040477	0.007986871097166628	0.962962962962963	0.9879518072289157	0.793442130375844	0.1675007772875708	0.8133741296416803	0.15598537187635916	0.8187684972311965	0.045216040919370766	0.7857142857142856	0.9285714285714285
modulation_timbre	freq_warmth	2	8	28	0.9004189522068149	0.12270084745666167	0.9068082200857085	0.11598531683783998	0.9933485290301771	0.003639058910560335	0.9843313800232135	0.9986231288407496	0.9063488708996728	0.11766534315872682	0.9063488708996728	0.11766534315872682	0.9984716317540757	0.00452043541122184	0.9879518072289157	1.0	0.8140778049174574	0.1493953337724114	0.8140778049174574	0.1493953337724114	0.9910340907749052	0.025952514837903493	0.9285714285714285	0.9999999999999998
